gdp,inflation,population,imports,exports,corporate_tax_rate,tax_revenue
15059605.698361348,4.92447865188257,1300.6657291422193,1797828.5921265231,1543678.6465019113,0.2172727643025233,1543417.4212373507
15006845.783859458,4.842351666750937,1301.552576080144,1722067.3560693497,1427334.4743664716,0.1930311335705843,1408186.712256642
15124597.624572083,5.159894126283177,1299.3908542926329,1620078.5604027365,1519971.5682108991,0.21945705133482188,1472013.961216592
15253076.082768964,5.064338399055808,1301.0825869659072,1609320.4324248242,1582612.4330789105,0.2176906546979132,1515568.3355173639
15065651.5950332,5.367923615700704,1296.7005989898964,1694277.089707824,1380811.767821905,0.22696206364813418,1509141.6312491123
15089091.065166099,5.231012582361387,1300.4165435379987,1560194.4217283172,1549903.163636645,0.23848956094945345,1555211.882018805
15330130.537860887,5.672017195655888,1301.9648977729103,1826696.8689409818,1482222.5101754493,0.23126565029547758,1554688.7699845834
15256154.667498348,5.39092351479429,1300.8627002270528,1768145.6179387027,1569141.1744554641,0.2173111130944517,1456641.4008421064
15131163.073687805,5.527001418894192,1305.5736169558975,1628932.0715946578,1455371.3135431295,0.2089347409125833,1550313.1154857103
15276044.705230316,5.7619907908486745,1301.370412933059,1549515.319313005,1389747.172235926,0.2457335980324986,1581025.2644884076
15178764.876862505,5.517487080063462,1303.2461832699546,1772414.6886585578,1394356.0677275301,0.22059218434014488,1569651.8131341592
15201924.929571569,5.795647486208943,1304.492985865929,1663505.6116079974,1523847.411704101,0.22013929291912945,1605508.5141325197
15310285.472587924,6.014037925170365,1306.8494099335992,1778888.0074793699,1550910.6754838456,0.21975874912889998,1603628.9811968566
15075093.870641064,5.630087901128671,1302.9243317732307,1538079.5926391594,1439346.097002955,0.22198084760767856,1558164.0815742495
15121134.860098436,5.948747281463078,1307.2134956282325,1618008.681841535,1560394.6994589162,0.2185563958807606,1532677.6571476092
15284087.996491084,6.006279749050095,1305.8747245915295,1681650.4054536186,1401434.705450838,0.21426337993119765,1453730.2683140708
15253460.265559869,6.127038612536072,1304.777737023428,1681463.7123128,1520306.2986408717,0.2145314105875961,1580158.9222935098
15436147.179911433,5.8627473155687735,1307.333780211395,1663239.8054985085,1450147.596507192,0.21967246729784,1587190.008277144
15312912.110937454,5.884652620956273,1307.32983954336,1732108.563564823,1481383.6659461954,0.21456575228866234,1580226.5365384074
15275836.055839766,6.191215535704376,1306.5215496842618,1598797.9928968053,1531203.8772454476,0.21287154217322835,1483582.6015870257
15644627.852270586,6.183329244211682,1307.917203127485,1709771.6934649842,1497158.5507321227,0.22106430227691898,1533478.9727080164
15465094.343941616,6.197765795587298,1307.6251546047074,1710462.2943015206,1516773.4955341613,0.21745022782579146,1649716.497947744
15523728.38456255,6.229038899852333,1308.7640260178769,1747540.165953876,1630479.9196841721,0.2350399298858269,1589938.776838984
15368092.717654385,6.0873513209077394,1309.9775710117815,1745171.0160706441,1492480.6330709748,0.1934903019160699,1620124.5477859657
15497174.073056977,6.231832038499015,1311.7540252242181,1617545.2767007756,1614471.7379664686,0.2309150685192246,1595058.6286036107
15599248.210765185,6.2439195738087,1307.9089017517597,1596262.1645193845,1471811.9329204834,0.2324608519249763,1607482.4371921478
15471255.770709323,6.091084895943842,1313.3558000619844,1800674.4592975199,1588109.256795521,0.19926609767591852,1652330.2744883895
15677896.26220148,6.471703598934163,1307.6187433007162,1750618.5118736231,1680793.4426677455,0.21657312405919651,1585033.486999678
15584173.357209744,6.251858074385492,1310.7098223574467,1655936.3495868978,1365824.6538840858,0.21628559134004208,1615544.7559536307
15644684.250024807,5.986422392776544,1312.2106008097269,1842251.681906989,1502132.5517415886,0.20592488305282178,1588707.3029199066
15630920.206532473,6.243385979226708,1312.1402378016026,1728441.7276113294,1608192.8625201122,0.21222183312409124,1590878.1710602024
15948835.882141072,5.974014886500753,1311.175325720269,1848414.0332600435,1578691.900520979,0.20889424154534172,1633098.9767410604
